task,target_index,metric,valid,test
toxcast,275,auc,0.7843137254901961,0.6405925155925156
toxcast,276,auc,0.5641821946169773,0.5816793893129771
toxcast,277,auc,0.6186274509803922,0.7834437086092715
toxcast,278,auc,0.5871031746031746,0.5081343025268259
toxcast,279,auc,0.5544776119402985,0.5110047846889952
toxcast,280,auc,0.612615823235923,0.5203525641025641
toxcast,281,auc,0.571062271062271,0.6094555412371134
toxcast,282,auc,0.6074626865671642,0.5844689028651293
toxcast,283,auc,0.7357142857142858,0.6990066225165563
toxcast,284,auc,0.5890541571319603,0.5631377551020408
toxcast,285,auc,0.8476190476190476,0.7056291390728476
toxcast,286,auc,0.5833333333333334,0.5045169616519174
toxcast,287,auc,0.49748995983935745,0.5270975056689342
toxcast,288,auc,0.649537037037037,0.5719954648526077
toxcast,289,auc,0.8414285714285714,0.5021865889212828
toxcast,290,auc,0.5517543859649123,0.4901234567901235
toxcast,291,auc,0.5547619047619048,0.5452935222672065
toxcast,292,auc,0.573125,0.5841194968553459
toxcast,293,auc,0.5892156862745098,0.5066162570888468
toxcast,294,auc,0.6988448844884488,0.5258064516129032
toxcast,295,auc,0.5337078651685393,0.5548645660585959
toxcast,296,auc,0.5502971137521222,0.5033868092691622
toxcast,297,auc,0.6476631748589847,0.5259605399792315
toxcast,298,auc,0.4703208556149733,0.5528455284552846
toxcast,299,auc,0.5062111801242236,0.48623371164354773
toxcast,300,auc,0.7281553398058253,0.43013245033112585
toxcast,301,auc,0.52660406885759,0.4766156462585034
toxcast,302,auc,0.6130328441649197,0.5230151374729688
toxcast,303,auc,0.5382003395585738,0.5287420679357969
toxcast,304,auc,0.5115461847389559,0.5801373106060606
toxcast,305,auc,0.5491341991341991,0.5006988120195668
toxcast,306,auc,0.600250626566416,0.6085069444444444
toxcast,307,auc,0.5303030303030303,0.4171401515151515
toxcast,308,auc,0.7008547008547008,0.5781395348837209
toxcast,309,auc,0.7896551724137931,0.3195146612740142
toxcast,310,auc,0.6897321428571429,0.47699757869249393
toxcast,311,auc,0.6323529411764706,0.63125
toxcast,312,auc,0.5604838709677419,0.4894613583138173
toxcast,313,auc,0.736328125,0.5725047080979284
toxcast,314,auc,0.525974025974026,0.5984126984126984
toxcast,315,auc,0.6541666666666667,0.38338192419825073
toxcast,316,auc,0.6146666666666667,0.6293269230769231
toxcast,317,auc,0.7421875,0.5253411306042886
toxcast,318,auc,0.6811224489795918,0.6521739130434783
toxcast,319,auc,0.6773333333333333,0.5184782608695652
toxcast,320,auc,0.8809523809523809,0.2972222222222222
toxcast,321,auc,0.65234375,0.525
toxcast,322,auc,0.671875,0.690562613430127
toxcast,323,auc,0.6746031746031746,0.5970961887477314
toxcast,324,auc,0.7083333333333334,0.6051020408163266
toxcast,325,auc,0.6643356643356644,0.7466329966329966
toxcast,326,auc,0.6293706293706294,0.5294612794612794
toxcast,327,auc,0.6851851851851852,0.6538461538461539
toxcast,328,auc,0.6888111888111889,0.6190476190476191
toxcast,329,auc,0.4857142857142857,0.6120401337792643
toxcast,330,auc,0.7035714285714286,0.6535087719298246
toxcast,331,auc,0.75,0.612037037037037
toxcast,332,auc,0.7615384615384615,0.6072727272727273
toxcast,333,auc,0.746031746031746,0.5071225071225072
toxcast,334,auc,0.75,0.4909090909090909
toxcast,335,auc,0.6825396825396826,0.275
toxcast,336,auc,0.7,0.45495495495495497
toxcast,337,auc,0.9090909090909091,0.538109756097561
toxcast,338,auc,0.5875,0.6918604651162791
toxcast,339,auc,0.4837662337662338,0.6290760869565217
toxcast,340,auc,0.8026315789473685,0.35802469135802467
toxcast,341,auc,0.68,0.509375
toxcast,342,auc,0.75,0.47413793103448276
toxcast,343,auc,nan,nan
toxcast,344,auc,0.6539473684210526,0.6739130434782609
toxcast,345,auc,0.74,0.6085526315789473
toxcast,346,auc,0.8416666666666667,0.4791666666666667
toxcast,347,auc,0.42857142857142855,0.2625
toxcast,348,auc,0.4444444444444444,0.8333333333333334
toxcast,349,auc,nan,0.5641025641025641
toxcast,350,auc,0.7954545454545454,0.5406189555125726
toxcast,351,auc,0.9,0.7137931034482758
toxcast,352,auc,0.6875,0.4
toxcast,353,auc,0.4097222222222222,0.6333333333333333
toxcast,354,auc,0.3,nan
toxcast,355,auc,0.875,1.0
toxcast,356,auc,0.7638888888888888,0.5
toxcast,357,auc,nan,0.875
toxcast,358,auc,0.85,0.46153846153846156
toxcast,359,auc,0.5416666666666666,0.4669421487603306
toxcast,360,auc,1.0,0.7083333333333334
toxcast,361,auc,0.575,0.7386363636363636
toxcast,362,auc,0.75,0.7654320987654321
