task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed,benchmark
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.6898362707640061,0.5739112676204958,59.794,t09,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6479873244044988,0.6107974344596572,4.19,t09,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.7091324955908289,0.7181405589138454,18.071,t09,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.7902079903854167,0.6596903165941365,41.672,t09,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.7024823803243614,1.8330209269085747,0.347,t09,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.687900960721241,3.3160194128422593,0.169,t09,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.1130211043949707,1.051218455544815,2.02,t09,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,134.63435778897534,131.87780309003074,1.237,t09,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.024210270128820863,0.026337814914248508,6.252,t09,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.014609943577078552,0.017227221175329873,28.34,t09,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9344817285671612,0.6707175925925926,1.045,t10,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.7042124542124543,0.796904886106764,1.005,t10,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.931559637545553,0.8622163139053973,1.092,t10,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7233045113884408,0.6881915390091119,5.112,t10,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6892965993740032,0.5759990923121567,72.176,t10,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.632055042901297,0.6185308655711536,4.74,t10,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7001166593180482,0.7345506865717762,18.452,t10,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7603266816053297,0.6705684742447224,42.92,t10,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.68975505660548,1.8392308477887493,0.374,t10,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.855022739700347,3.3941206686179495,0.18,t10,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1068053979941037,1.036790753580032,2.075,t10,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,135.07805357152344,136.94624412378653,1.285,t10,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.02408041450311201,0.026084056378316386,6.906,t10,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014384720278862879,0.01678241886121096,29.378,t10,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,80,0.9395598924624117,0.6695119598765432,0.995,t11,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,80,0.7527472527472527,0.7313510693792384,0.889,t11,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,80,0.9625398076102301,0.7655340944635596,0.847,t11,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,80,0.7154390249575994,0.6747715413046792,3.941,t11,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,80,0.6991521074825858,0.5738676546827143,39.722,t11,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,80,0.6432420186341483,0.6037304633511646,2.821,t11,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,80,0.6835531795022536,0.7202939415593194,17.846,t11,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,80,0.7857330158237633,0.6746102827355845,40.757,t11,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,80,1.723755357279467,1.8839086424323264,0.309,t11,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,80,5.818206824207018,3.3934419280915717,0.144,t11,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,80,1.1232729568908333,1.0488358263566482,1.952,t11,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,80,134.98793882179433,141.0527067512052,1.216,t11,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,80,0.024363717134991567,0.026491492614554964,5.369,t11,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,80,0.015476922341226175,0.017780863782423235,27.248,t11,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,112,0.9425968336154535,0.6458815586419753,0.991,t12,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,112,0.6961538461538461,0.796904886106764,0.929,t12,42,BACE
